일자,"2013년
15.5 ℃
12.9 톤
PCC -0.543
온도 (℃)","2014년
16.2 ℃
10.8 톤
PCC -0.544
온도 (℃)","2015년
18.5 ℃
18.9 톤
PCC -0.417
온도 (℃)","2016년
16.2 ℃
14.8 톤
PCC -0.559
온도 (℃)","2017년
15.4 ℃
10.5 톤
PCC -0.645
온도 (℃)","2018년
10.9 ℃
14.8 톤
PCC -0.553
온도 (℃)","2019년
15.7 ℃
17.9 톤
PCC -0.661
온도 (℃)","2020년
13.2 ℃
12.8 톤
PCC -0.678
온도 (℃)","2021년
10.9 ℃
11.9 톤
PCC -0.611
온도 (℃)","2022년
8.7 ℃
12.1 톤
PCC -0.594
온도 (℃)","2013년
15.5 ℃
12.9 톤
PCC -0.543
거래물량 (톤)","2014년
16.2 ℃
10.8 톤
PCC -0.544
거래물량 (톤)","2015년
18.5 ℃
18.9 톤
PCC -0.417
거래물량 (톤)","2016년
16.2 ℃
14.8 톤
PCC -0.559
거래물량 (톤)","2017년
15.4 ℃
10.5 톤
PCC -0.645
거래물량 (톤)","2018년
10.9 ℃
14.8 톤
PCC -0.553
거래물량 (톤)","2019년
15.7 ℃
17.9 톤
PCC -0.661
거래물량 (톤)","2020년
13.2 ℃
12.8 톤
PCC -0.678
거래물량 (톤)","2021년
10.9 ℃
11.9 톤
PCC -0.611
거래물량 (톤)","2022년
8.7 ℃
12.1 톤
PCC -0.594
거래물량 (톤)"
20220419,10.45,14.1,15.3,12.55,13,11.45,14.8,11.65,10.35,14.15,30.471,22.798,51.622,42.994,25.378,35.341,33.254,29.115,20.82,25.807
20220420,7.8,14.85,15.3,12.95,11.7,13.65,16,11.4,11.5,13.6,30.91,22.283,43.508,38.762,23.522,26.486,32.082,31.766,20.2815,26.3585
20220421,7.9,14.95,13.6,14.1,12.2,15.75,16.2,10.65,14.75,13,30.544,11.14,48.4215,34.747,22.0225,25.029,31.568,28.7235,20.336,24.44
20220422,9.6,14.35,12.95,16.15,13.05,17.3,17.5,9.25,16.95,14.15,29.218,10.354,51.3385,34.309,21.6675,25.792,29.542,24.658,21.271,23.4605
20220423,10.7,14.05,13,17.4,12.8,16.4,17.65,8.65,18.55,16.9,28.736,8.675,47.616,33.316,22.328,21.38,29.667,23.4295,18.786,23.0835
20220424,11.45,15.05,14.05,16.1,13.2,14.35,17.15,8.95,18.8,18.7,26.786,6.511,46.259,33.932,16.518,18.04,27.382,19.0425,14.3135,21.344
20220425,10.3,16.25,15.05,16.4,15.2,14.6,16.45,10.9,16.95,18.95,25.4,5.445,45.514,25.236,15.696,14.117,22.14,14.464,12.668,22.548
20220426,9.85,15.4,15.7,17.1,16.15,14.25,12.35,11.85,15.6,18.15,25.401,5.172,44.4,21.78,15.705,12.816,15.651,14.067,9.223,20.0805
20220427,10.7,15.1,16.05,15.45,14.1,13.7,10.85,11.1,14.9,16.8,25.547,4.694,30.48,16.322,12.962,13.071,10.434,12.816,9.146,14.084
20220428,12.85,15.5,16.7,14.35,13.05,14.5,12.15,11,15.85,15.7,25.774,0.548,31.2455,12.041,7.968,13.071,8.874,13.0435,8.996,9
20220429,13.9,14.85,17.55,14.7,14.6,15,12.2,12,16.8,14.6,19.714,0.682,28.0105,9.954,5.862,12.098,9.5,12.694,7.5895,7.2965
20220430,13.25,14.3,19.4,15.05,16.6,16.45,13.3,14.25,15.7,13.75,18.902,5.2,19.081,10.9985,5.176,7.94,9.254,12.85,6.2005,6.758
20220501,12.35,14.35,20.45,15.85,17.7,18.4,14,18.5,12.8,13.2,18.769,5.108,9.825,11.851,3.418,6.924,7.134,9.9985,5.0225,6.368
